author,study,n2,n1,m2,m1,sd2,sd1,d,varma_yi_pos,varma_vi
"James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ",1,26,26,2.695,5.545,2.21,2.605,1.14,1.16204,0.08991
"James, E., L., Bonsall, M., B., Hoppitt, L, Tunbridge, E., M., Geddes, J., R., Milton, A., L., & Holmes, E., A. ",2,18,18,1.875,5.08,2.27,2.33,1,1.36236,0.13689
