"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","n_article","n_study","k","estimate","std.error","z.stat","p.val","ci.lb","ci.ub"
"3 Parameter Selection Model","All","Intrusion frequency","Intrusion diary","no",10182,118,136,"274",0.0164188546543774,0.0332541773140273,0.493738109932179,0.621491146988385,-0.048758135216625,0.0815958445253797
"3 Parameter Selection Model","All","Intrusion frequency","Intrusion diary","yes",10017,117,132,"262",0.0252903534319896,0.0283392824765219,0.892413329552074,0.372171429091868,-0.0302536195697003,0.0808343264336796
"3 Parameter Selection Model","Decrease","Intrusion frequency","Intrusion diary","no",7354,86,100,"150",0.0923341057845488,0.0433187075714547,2.13150647747841,0.033047439379509,0.00743099908767514,0.177237212481423
"3 Parameter Selection Model","Decrease","Intrusion frequency","Intrusion diary","yes",7025,83,95,"143",0.0832108489188207,0.0420802163911743,1.9774339595904,0.0479925985164991,0.000735140330467107,0.165686557507174
"3 Parameter Selection Model","Increase","Intrusion frequency","Intrusion diary","no",4068,45,51,"67",-0.198859917850438,0.0662363195495052,-3.00227910009115,0.0026796637323055,-0.328680718635955,-0.0690391170649219
"3 Parameter Selection Model","Increase","Intrusion frequency","Intrusion diary","yes",3809,42,48,"63",-0.182834497753918,0.0542703845742579,-3.36895526332132,0.000754536744500901,-0.289202496946602,-0.0764664985612349
"3 Parameter Selection Model","Unspecified","Intrusion frequency","Intrusion diary","no",2771,31,32,"55",0.0793300865356948,0.0551311979031925,1.43893275591425,0.150169575771686,-0.0287250757791127,0.187385248850502
"3 Parameter Selection Model","Unspecified","Intrusion frequency","Intrusion diary","yes",2771,31,32,"53",0.098644375033344,0.049583835045158,1.98944625690015,0.0466519682428793,0.00146184412945928,0.195826905937229
"3 Parameter Selection Model","All","Intrusion frequency","Lab-based intrusion monitoring task","no",2978,35,40,"80",0.17745515187977,0.0676355189564291,2.6236976461153,0.00869809620816327,0.0448919706494929,0.310018333110047
"3 Parameter Selection Model","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",2924,34,39,"77",0.208092008881919,0.0613907109364081,3.38963347561608,0.000699861286932388,0.0877684264612501,0.328415591302588
"3 Parameter Selection Model","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","no",2052,24,28,"34",0.313657091663882,0.107383752866778,2.92089895622303,0.00349023005245007,0.103188803520248,0.524125379807516
"3 Parameter Selection Model","Decrease","Intrusion frequency","Lab-based intrusion monitoring task","yes",2052,24,28,"34",0.313657091663882,0.107383752866778,2.92089895622303,0.00349023005245007,0.103188803520248,0.524125379807516
"3 Parameter Selection Model","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",1357,13,16,"32",0.0245243269822737,0.0855991888392608,0.286501861931493,0.774493767599576,-0.14324700024852,0.192295654213068
"3 Parameter Selection Model","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",1214,11,14,"29",0.0467525455801744,0.0660984612966966,0.707316700918588,0.479369689191205,-0.0827980579948655,0.176303149155214
"3 Parameter Selection Model","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",715,8,8,"13",0.224403444088124,0.105662064907047,2.12378439022117,0.0336881768692869,0.0173096023381771,0.43149728583807
"3 Parameter Selection Model","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",715,8,8,"13",0.224403444088124,0.105662064907047,2.12378439022117,0.0336881768692869,0.0173096023381771,0.43149728583807
