"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","n_article","n_study","k","ImputedSide","ImputedStudies","Hedgesg","se","z","p","CI"
"Trim and Fill (Averaged Outcome)","All","Intrusion symptoms",NA,"no","4730","48","55","55","right","0","0.0920700239846624","0.0426987930535657","2.15626759916048","0.0310627757450419"," [0.01, 0.18]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion symptoms",NA,"yes","2910","27","33","33","left","2","0.247411888003331","0.0439894810555686","5.62434204874557","1.86216349703542e-08"," [0.16, 0.33]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion symptoms",NA,"no","3026","29","35","35","left","6","0.133895194086112","0.0542247627681993","2.46926288379515","0.013539171417098"," [0.03, 0.24]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion symptoms",NA,"yes","2153","21","23","23","right","3","-0.0292288121511689","0.0779527412573707","-0.374955539468026","0.707693532680772"," [-0.18, 0.12]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion symptoms",NA,"no","2198","22","24","24","right","0","-0.172324605799847","0.0900324696289657","-1.91402731159122","0.0556166661211743"," [-0.35, 0.00]"
"Trim and Fill (Averaged Outcome)","Unspecified","Intrusion symptoms",NA,"yes","1331","15","15","15","right","2","0.13712790668044","0.0671916298868278","2.04084804776141","0.0412659330578641"," [0.01, 0.27]"
"Trim and Fill (Averaged Outcome)","Unspecified","Intrusion symptoms",NA,"no","1461","17","17","17","left","0","0.0798500019621994","0.0770950612910333","1.03573433401611","0.300326099930886"," [-0.07, 0.23]"
"Trim and Fill (Averaged Outcome)","All","Intrusion-related distress",NA,"yes","5585","59","64","64","left","0","0.0395098568858377","0.0303010328789686","1.30391122453323","0.192263852728222"," [-0.02, 0.10]"
"Trim and Fill (Averaged Outcome)","All","Intrusion-related distress",NA,"no","5690","61","66","66","right","0","0.0392944263451319","0.0359713714526716","1.09238054481277","0.274665870730394"," [-0.03, 0.11]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion-related distress",NA,"yes","3815","39","43","43","left","12","-0.0266362837025527","0.0453244471967851","-0.587680277420837","0.556746916105602"," [-0.12, 0.06]"
"Trim and Fill (Averaged Outcome)","Decrease","Intrusion-related distress",NA,"no","3881","40","44","44","left","12","-0.0144554413635987","0.0482816630937945","-0.299398165624841","0.764636261634223"," [-0.11, 0.08]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion-related distress",NA,"yes","2151","23","25","25","right","2","-0.0882740533310907","0.0473909176529043","-1.86267870940205","0.0625074830624864"," [-0.18, 0.00]"
"Trim and Fill (Averaged Outcome)","Increase","Intrusion-related distress",NA,"no","2190","24","26","26","right","0","-0.143081767376323","0.0548470272601283","-2.60874243370958","0.00908756145564098"," [-0.25, -0.04]"
"Trim and Fill (Averaged Outcome)","Unspecified","Intrusion-related distress",NA,"yes","1457","15","15","15","right","0","0.0976153329440394","0.0888653790792845","1.09846302300639","0.272002355611154"," [-0.08, 0.27]"
"Trim and Fill (Averaged Outcome)","Unspecified","Intrusion-related distress",NA,"no","1457","15","15","15","right","0","0.0976153329440394","0.0888653790792845","1.09846302300639","0.272002355611154"," [-0.08, 0.27]"
