Analysis,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,ImputedSide,ImputedStudies,Hedgesg,se,z,p,CI
Trim and Fill (Averaged Outcome),Increase,Intrusion symptoms,NA,no,2198,22,24,24,right,0,-0.172324606,0.09003247,-1.914027312,0.055616666," [-0.35, 0.00]"
Trim and Fill (Averaged Outcome),Unspecified,Intrusion symptoms,NA,yes,1331,15,15,15,right,2,0.137127907,0.06719163,2.040848048,0.041265933," [0.01, 0.27]"
Trim and Fill (Averaged Outcome),Unspecified,Intrusion symptoms,NA,no,1461,17,17,17,left,0,0.079850002,0.077095061,1.035734334,0.3003261," [-0.07, 0.23]"
Trim and Fill (Averaged Outcome),All,Intrusion-related distress,NA,yes,5585,59,64,64,left,0,0.039509857,0.030301033,1.303911225,0.192263853," [-0.02, 0.10]"
Trim and Fill (Averaged Outcome),All,Intrusion-related distress,NA,no,5690,61,66,66,right,0,0.039294426,0.035971371,1.092380545,0.274665871," [-0.03, 0.11]"
Trim and Fill (Averaged Outcome),Decrease,Intrusion-related distress,NA,yes,3815,39,43,43,left,12,-0.026636284,0.045324447,-0.587680277,0.556746916," [-0.12, 0.06]"
Trim and Fill (Averaged Outcome),Decrease,Intrusion-related distress,NA,no,3881,40,44,44,left,12,-0.014455441,0.048281663,-0.299398166,0.764636262," [-0.11, 0.08]"
Trim and Fill (Averaged Outcome),Increase,Intrusion-related distress,NA,yes,2151,23,25,25,right,2,-0.088274053,0.047390918,-1.862678709,0.062507483," [-0.18, 0.00]"
Trim and Fill (Averaged Outcome),Increase,Intrusion-related distress,NA,no,2190,24,26,26,right,0,-0.143081767,0.054847027,-2.608742434,0.009087561," [-0.25, -0.04]"
Trim and Fill (Averaged Outcome),Unspecified,Intrusion-related distress,NA,yes,1457,15,15,15,right,0,0.097615333,0.088865379,1.098463023,0.272002356," [-0.08, 0.27]"
Trim and Fill (Averaged Outcome),Unspecified,Intrusion-related distress,NA,no,1457,15,15,15,right,0,0.097615333,0.088865379,1.098463023,0.272002356," [-0.08, 0.27]"
