Analysis,Prediction,Mechanism-basedCategory,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,QM,z,p
Moderation Analysis: Time of Administration,All,Emotion,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,5.417,NA,0.247
Immediate post,All,Emotion,Intrusion frequency,NA,no,1023,10,10,16,-0.03," [-0.29, 0.22]",NA,-0.257269,0.796971
Peri,All,Emotion,Intrusion frequency,NA,no,227,3,3,10,0.36," [-0.11, 0.82]",NA,1.504632,0.132419
Peri + immediate post,All,Emotion,Intrusion frequency,NA,no,67,1,1,1,-0.51," [-1.40, 0.38]",NA,-1.128027,0.259308
Pre,All,Emotion,Intrusion frequency,NA,no,291,5,5,9,0.22," [-0.13, 0.56]",NA,1.238617,0.215487
Pre + peri,All,Emotion,Intrusion frequency,NA,no,108,1,1,2,-0.24," [-1.05, 0.58]",NA,-0.567055,0.570677
Moderation Analysis: Time of Administration,All,Emotion,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,6.809,NA,0.146
Immediate post,All,Emotion,Intrusion frequency,NA,yes,984,9,9,15,0.06," [-0.15, 0.28]",NA,0.577134,0.563849
Peri,All,Emotion,Intrusion frequency,NA,yes,227,3,3,10,0.36," [-0.01, 0.72]",NA,1.929888,0.053621
Peri + immediate post,All,Emotion,Intrusion frequency,NA,yes,67,1,1,1,-0.51," [-1.25, 0.22]",NA,-1.3641,0.172536
Pre,All,Emotion,Intrusion frequency,NA,yes,291,5,5,9,0.25," [-0.05, 0.54]",NA,1.643712,0.100236
Pre + peri,All,Emotion,Intrusion frequency,NA,yes,108,1,1,2,-0.24," [-0.88, 0.41]",NA,-0.717119,0.473301
Moderation Analysis: Time of Administration,All,Imagery,Intrusion frequency,NA,no,NA,NA,NA,NA,NA,NA,1.922,NA,0.589
Delayed post,All,Imagery,Intrusion frequency,NA,no,837,7,8,27,0.26," [-0.03, 0.54]",NA,1.762884,0.07792
Immediate post,All,Imagery,Intrusion frequency,NA,no,2933,31,37,96,0.32," [0.18, 0.46]",NA,4.585825,0.000005
Peri,All,Imagery,Intrusion frequency,NA,no,750,10,11,17,0.51," [0.24, 0.78]",NA,3.67865,0.000234
Pre,All,Imagery,Intrusion frequency,NA,no,120,2,2,3,0.32," [-0.28, 0.91]",NA,1.042635,0.297117
Moderation Analysis: Time of Administration,All,Imagery,Intrusion frequency,NA,yes,NA,NA,NA,NA,NA,NA,2.921,NA,0.404
Delayed post,All,Imagery,Intrusion frequency,NA,yes,837,7,8,25,0.2," [-0.07, 0.47]",NA,1.47142,0.141178
Immediate post,All,Imagery,Intrusion frequency,NA,yes,2903,30,36,93,0.29," [0.16, 0.42]",NA,4.419374,0.00001
