"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.610",NA,"0.435"
"Behavioural","Unspecified","Intrusion-related distress",NA,"no","1457","15","15","20","0.11"," [-0.08, 0.29]",NA,"1.140944","0.253893"
"Pharmacological","Unspecified","Intrusion-related distress",NA,"no","99","1","1","1","-0.16"," [-0.84, 0.51]",NA,"-0.473784","0.635654"
"Moderation Analysis: Step3_Technique_procedure","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.610",NA,"0.435"
"Behavioural","Unspecified","Intrusion-related distress",NA,"yes","1457","15","15","20","0.11"," [-0.08, 0.29]",NA,"1.140944","0.253893"
"Pharmacological","Unspecified","Intrusion-related distress",NA,"yes","99","1","1","1","-0.16"," [-0.84, 0.51]",NA,"-0.473784","0.635654"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"2.001",NA,"0.368"
"Emotion","Unspecified","Intrusion-related distress",NA,"no","159","2","2","3","0.42"," [-0.11, 0.96]",NA,"1.550414","0.121042"
"Imagery","Unspecified","Intrusion-related distress",NA,"no","931","9","9","9","-0.00"," [-0.27, 0.26]",NA,"-0.025648","0.979538"
"Verbal","Unspecified","Intrusion-related distress",NA,"no","273","3","3","4","0.12"," [-0.30, 0.54]",NA,"0.547058","0.584339"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.001",NA,"0.368"
"Emotion","Unspecified","Intrusion-related distress",NA,"yes","159","2","2","3","0.42"," [-0.11, 0.96]",NA,"1.550414","0.121042"
"Imagery","Unspecified","Intrusion-related distress",NA,"yes","931","9","9","9","-0.00"," [-0.27, 0.26]",NA,"-0.025648","0.979538"
"Verbal","Unspecified","Intrusion-related distress",NA,"yes","273","3","3","4","0.12"," [-0.30, 0.54]",NA,"0.547058","0.584339"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.042",NA,"0.838"
"Direct","Unspecified","Intrusion-related distress",NA,"no","1038","9","9","12","0.09"," [-0.15, 0.33]",NA,"0.757790","0.448577"
"Indirect","Unspecified","Intrusion-related distress",NA,"no","499","7","7","8","0.13"," [-0.16, 0.43]",NA,"0.867098","0.385889"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.042",NA,"0.838"
"Direct","Unspecified","Intrusion-related distress",NA,"yes","1038","9","9","12","0.09"," [-0.15, 0.33]",NA,"0.757790","0.448577"
"Indirect","Unspecified","Intrusion-related distress",NA,"yes","499","7","7","8","0.13"," [-0.16, 0.43]",NA,"0.867098","0.385889"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.097",NA,"0.756"
"Instruction","Unspecified","Intrusion-related distress",NA,"no","510","4","4","4","0.06"," [-0.32, 0.43]",NA,"0.287193","0.773965"
"Task","Unspecified","Intrusion-related distress",NA,"no","1027","12","12","16","0.12"," [-0.09, 0.33]",NA,"1.128193","0.259238"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.097",NA,"0.756"
"Instruction","Unspecified","Intrusion-related distress",NA,"yes","510","4","4","4","0.06"," [-0.32, 0.43]",NA,"0.287193","0.773965"
"Task","Unspecified","Intrusion-related distress",NA,"yes","1027","12","12","16","0.12"," [-0.09, 0.33]",NA,"1.128193","0.259238"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"2.506",NA,"0.286"
"Audio","Unspecified","Intrusion-related distress",NA,"no","41","1","1","1","-0.12"," [-1.10, 0.86]",NA,"-0.235978","0.813450"
"Film","Unspecified","Intrusion-related distress",NA,"no","1306","13","13","19","0.07"," [-0.11, 0.25]",NA,"0.734895","0.462403"
"Picture","Unspecified","Intrusion-related distress",NA,"no","110","1","1","1","0.59"," [-0.06, 1.24]",NA,"1.781772","0.074786"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.506",NA,"0.286"
"Audio","Unspecified","Intrusion-related distress",NA,"yes","41","1","1","1","-0.12"," [-1.10, 0.86]",NA,"-0.235978","0.813450"
"Film","Unspecified","Intrusion-related distress",NA,"yes","1306","13","13","19","0.07"," [-0.11, 0.25]",NA,"0.734895","0.462403"
"Picture","Unspecified","Intrusion-related distress",NA,"yes","110","1","1","1","0.59"," [-0.06, 1.24]",NA,"1.781772","0.074786"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"2.398",NA,"0.122"
"Experimental task","Unspecified","Intrusion-related distress",NA,"no","496","6","6","8","-0.07"," [-0.33, 0.20]",NA,"-0.480017","0.631215"
"No-task","Unspecified","Intrusion-related distress",NA,"no","961","9","9","13","0.21"," [-0.01, 0.42]",NA,"1.866140","0.062022"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.398",NA,"0.122"
"Experimental task","Unspecified","Intrusion-related distress",NA,"yes","496","6","6","8","-0.07"," [-0.33, 0.20]",NA,"-0.480017","0.631215"
"No-task","Unspecified","Intrusion-related distress",NA,"yes","961","9","9","13","0.21"," [-0.01, 0.42]",NA,"1.866140","0.062022"
"Moderation Analysis: ModeOfMeasurement","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"2.537",NA,"0.111"
"Intrusion diary","Unspecified","Intrusion-related distress",NA,"no","1374","14","14","19","0.14"," [-0.03, 0.31]",NA,"1.595622","0.110573"
"Self-report questionnaire","Unspecified","Intrusion-related distress",NA,"no","83","1","1","2","-0.33"," [-0.89, 0.22]",NA,"-1.175663","0.239729"
"Moderation Analysis: ModeOfMeasurement","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"2.537",NA,"0.111"
"Intrusion diary","Unspecified","Intrusion-related distress",NA,"yes","1374","14","14","19","0.14"," [-0.03, 0.31]",NA,"1.595622","0.110573"
"Self-report questionnaire","Unspecified","Intrusion-related distress",NA,"yes","83","1","1","2","-0.33"," [-0.89, 0.22]",NA,"-1.175663","0.239729"
"Moderation Analysis: TimeOfManipulation","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.070",NA,"0.965"
"Immediate post","Unspecified","Intrusion-related distress",NA,"no","983","11","11","16","0.08"," [-0.14, 0.30]",NA,"0.701489","0.482998"
"Peri","Unspecified","Intrusion-related distress",NA,"no","321","2","2","2","0.14"," [-0.37, 0.65]",NA,"0.531335","0.595187"
"Pre","Unspecified","Intrusion-related distress",NA,"no","153","2","2","3","0.14"," [-0.37, 0.64]",NA,"0.527742","0.597678"
"Moderation Analysis: TimeOfManipulation","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.070",NA,"0.965"
