"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Immediate post","Unspecified","Intrusion-related distress",NA,"yes","983","11","11","16","0.08"," [-0.14, 0.30]",NA,"0.701489","0.482998"
"Peri","Unspecified","Intrusion-related distress",NA,"yes","321","2","2","2","0.14"," [-0.37, 0.65]",NA,"0.531335","0.595187"
"Pre","Unspecified","Intrusion-related distress",NA,"yes","153","2","2","3","0.14"," [-0.37, 0.64]",NA,"0.527742","0.597678"
"Moderation Analysis: Physio_binary","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"0.117",NA,"0.732"
"No","Unspecified","Intrusion-related distress",NA,"no","1100","11","11","14","0.12"," [-0.10, 0.34]",NA,"1.058539","0.289810"
"Yes","Unspecified","Intrusion-related distress",NA,"no","357","4","4","7","0.05"," [-0.28, 0.37]",NA,"0.296044","0.767196"
"Moderation Analysis: Physio_binary","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"0.117",NA,"0.732"
"No","Unspecified","Intrusion-related distress",NA,"yes","1100","11","11","14","0.12"," [-0.10, 0.34]",NA,"1.058539","0.289810"
"Yes","Unspecified","Intrusion-related distress",NA,"yes","357","4","4","7","0.05"," [-0.28, 0.37]",NA,"0.296044","0.767196"
"Moderation Analysis: PublicationStatus","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.053",NA,"0.305"
"Published","Unspecified","Intrusion-related distress",NA,"no","1412","14","14","20","0.12"," [-0.06, 0.29]",NA,"1.271836","0.203432"
"Unpublished","Unspecified","Intrusion-related distress",NA,"no","45","1","1","1","-0.34"," [-1.21, 0.52]",NA,"-0.783804","0.433155"
"Moderation Analysis: PublicationStatus","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.053",NA,"0.305"
"Published","Unspecified","Intrusion-related distress",NA,"yes","1412","14","14","20","0.12"," [-0.06, 0.29]",NA,"1.271836","0.203432"
"Unpublished","Unspecified","Intrusion-related distress",NA,"yes","45","1","1","1","-0.34"," [-1.21, 0.52]",NA,"-0.783804","0.433155"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.907",NA,"0.862"
"Australia","Unspecified","Intrusion-related distress",NA,"no","190","2","2","3","0.13"," [-0.39, 0.65]",NA,"0.494707","0.620807"
"England","Unspecified","Intrusion-related distress",NA,"no","259","3","3","4","0.02"," [-0.42, 0.46]",NA,"0.086438","0.931119"
"Germany","Unspecified","Intrusion-related distress",NA,"no","234","3","3","6","0.23"," [-0.18, 0.64]",NA,"1.087671","0.276740"
"Netherlands","Unspecified","Intrusion-related distress",NA,"no","522","5","5","6","0.14"," [-0.20, 0.48]",NA,"0.804604","0.421048"
"Sweden","Unspecified","Intrusion-related distress",NA,"no","41","1","1","1","-0.12"," [-1.17, 0.93]",NA,"-0.220809","0.825241"
"USA","Unspecified","Intrusion-related distress",NA,"no","211","1","1","1","-0.31"," [-1.06, 0.43]",NA,"-0.821037","0.411625"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.907",NA,"0.862"
"Australia","Unspecified","Intrusion-related distress",NA,"yes","190","2","2","3","0.13"," [-0.39, 0.65]",NA,"0.494707","0.620807"
"England","Unspecified","Intrusion-related distress",NA,"yes","259","3","3","4","0.02"," [-0.42, 0.46]",NA,"0.086438","0.931119"
"Germany","Unspecified","Intrusion-related distress",NA,"yes","234","3","3","6","0.23"," [-0.18, 0.64]",NA,"1.087671","0.276740"
"Netherlands","Unspecified","Intrusion-related distress",NA,"yes","522","5","5","6","0.14"," [-0.20, 0.48]",NA,"0.804604","0.421048"
"Sweden","Unspecified","Intrusion-related distress",NA,"yes","41","1","1","1","-0.12"," [-1.17, 0.93]",NA,"-0.220809","0.825241"
"USA","Unspecified","Intrusion-related distress",NA,"yes","211","1","1","1","-0.31"," [-1.06, 0.43]",NA,"-0.821037","0.411625"
"Moderation Analysis: Continent","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.505",NA,"0.471"
"Australia","Unspecified","Intrusion-related distress",NA,"no","190","2","2","3","0.13"," [-0.34, 0.60]",NA,"0.535843","0.592067"
"Europe","Unspecified","Intrusion-related distress",NA,"no","1056","12","12","17","0.13"," [-0.07, 0.33]",NA,"1.237067","0.216062"
"North america","Unspecified","Intrusion-related distress",NA,"no","211","1","1","1","-0.31"," [-0.99, 0.36]",NA,"-0.903766","0.366120"
"Moderation Analysis: Continent","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.505",NA,"0.471"
"Australia","Unspecified","Intrusion-related distress",NA,"yes","190","2","2","3","0.13"," [-0.34, 0.60]",NA,"0.535843","0.592067"
"Europe","Unspecified","Intrusion-related distress",NA,"yes","1056","12","12","17","0.13"," [-0.07, 0.33]",NA,"1.237067","0.216062"
"North america","Unspecified","Intrusion-related distress",NA,"yes","211","1","1","1","-0.31"," [-0.99, 0.36]",NA,"-0.903766","0.366120"
"Moderation Analysis: MeanAge","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.503",NA,"0.220"
"MeanAge","Unspecified","Intrusion-related distress",NA,"no","1246","14","14","20","-0.07"," [-0.17, 0.04]",NA,"-1.225946","0.220219"
"Moderation Analysis: MeanAge","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.503",NA,"0.220"
"MeanAge","Unspecified","Intrusion-related distress",NA,"yes","1246","14","14","20","-0.07"," [-0.17, 0.04]",NA,"-1.225946","0.220219"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion-related distress",NA,"no",NA,NA,NA,NA,NA,NA,"1.166",NA,"0.280"
"FemaleRatio","Unspecified","Intrusion-related distress",NA,"no","1457","15","15","21","0.74"," [-0.61, 2.09]",NA,"1.080010","0.280138"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion-related distress",NA,"yes",NA,NA,NA,NA,NA,NA,"1.166",NA,"0.280"
"FemaleRatio","Unspecified","Intrusion-related distress",NA,"yes","1457","15","15","21","0.74"," [-0.61, 2.09]",NA,"1.080010","0.280138"
