"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"6.065",NA,"0.014"
"Behavioural","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2740","32","37","77","0.33"," [0.20, 0.46]",NA,"5.099429","0.000000"
"Pharmacological","All","Intrusion frequency","Lab-based intrusion monitoring task","no","119","2","2","2","-0.43"," [-1.01, 0.16]",NA,"-1.419361","0.155794"
"Moderation Analysis: Step3_Technique_procedure","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"1.389",NA,"0.239"
"Behavioural","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2740","32","37","75","0.35"," [0.23, 0.47]",NA,"5.781642","0.000000"
"Pharmacological","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","65","1","1","1","-0.11"," [-0.87, 0.64]",NA,"-0.292816","0.769663"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"7.497",NA,"0.112"
"Emotion","All","Intrusion frequency","Lab-based intrusion monitoring task","no","300","4","4","9","0.45"," [0.09, 0.81]",NA,"2.440023","0.014686"
"Imagery","All","Intrusion frequency","Lab-based intrusion monitoring task","no","1128","12","15","28","0.49"," [0.30, 0.69]",NA,"4.990386","0.000001"
"Imagery + verbal","All","Intrusion frequency","Lab-based intrusion monitoring task","no","135","1","2","2","0.54"," [-0.01, 1.08]",NA,"1.937858","0.052641"
"Verbal","All","Intrusion frequency","Lab-based intrusion monitoring task","no","607","7","8","15","0.11"," [-0.13, 0.36]",NA,"0.904437","0.365764"
"Verbal + imagery","All","Intrusion frequency","Lab-based intrusion monitoring task","no","200","2","2","4","0.53"," [0.14, 0.92]",NA,"2.663176","0.007741"
"Moderation Analysis: Step4_Hypothesized_mechanism","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"3.784",NA,"0.436"
"Emotion","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","300","4","4","9","0.45"," [0.11, 0.78]",NA,"2.603842","0.009219"
"Imagery","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","1128","12","15","28","0.51"," [0.33, 0.69]",NA,"5.434444","0.000000"
"Imagery + verbal","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","135","1","2","2","0.55"," [0.03, 1.06]",NA,"2.071942","0.038271"
"Verbal","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","542","6","7","13","0.25"," [0.01, 0.49]",NA,"2.001124","0.045379"
"Verbal + imagery","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","200","2","2","4","0.56"," [0.19, 0.93]",NA,"2.940342","0.003279"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"19.902",NA,"0.000"
"Direct","All","Intrusion frequency","Lab-based intrusion monitoring task","no","1013","11","12","23","0.28"," [0.10, 0.46]",NA,"3.070372","0.002138"
"Direct + indirect","All","Intrusion frequency","Lab-based intrusion monitoring task","no","637","7","10","16","0.73"," [0.51, 0.94]",NA,"6.687162","0.000000"
"Indirect","All","Intrusion frequency","Lab-based intrusion monitoring task","no","1314","17","18","29","0.15"," [-0.00, 0.30]",NA,"1.958421","0.050181"
"Indirect + direct","All","Intrusion frequency","Lab-based intrusion monitoring task","no","349","3","3","9","0.27"," [-0.01, 0.54]",NA,"1.864764","0.062214"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"21.181",NA,"0.000"
"Direct","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","1013","11","12","22","0.31"," [0.15, 0.48]",NA,"3.698745","0.000217"
"Direct + indirect","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","637","7","10","16","0.73"," [0.53, 0.92]",NA,"7.122532","0.000000"
"Indirect","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","1314","17","18","28","0.17"," [0.03, 0.31]",NA,"2.348744","0.018837"
"Indirect + direct","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","349","3","3","9","0.25"," [-0.01, 0.52]",NA,"1.860831","0.062768"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.635",NA,"0.451"
"Instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","no","609","6","6","10","0.27"," [-0.02, 0.56]",NA,"1.829873","0.067269"
"Task","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2360","28","33","60","0.34"," [0.21, 0.48]",NA,"4.962840","0.000001"
"Task vs. Instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","no","149","1","1","1","0.68"," [0.06, 1.30]",NA,"2.139568","0.032390"
"Task+instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","no","120","1","1","6","0.07"," [-0.40, 0.53]",NA,"0.289712","0.772037"
"Moderation Analysis: Step4b_Task_Instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.819",NA,"0.420"
"Instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","609","6","6","10","0.28"," [0.01, 0.55]",NA,"1.999816","0.045520"
"Task","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2360","28","33","58","0.36"," [0.24, 0.49]",NA,"5.612460","0.000000"
"Task vs. Instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","149","1","1","1","0.69"," [0.07, 1.30]",NA,"2.187979","0.028671"
"Task+instruction","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","120","1","1","6","0.07"," [-0.37, 0.52]",NA,"0.325158","0.745062"
"Moderation Analysis: TraumaStimuliType","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.650",NA,"0.648"
"Audio","All","Intrusion frequency","Lab-based intrusion monitoring task","no","86","1","1","2","0.59"," [-0.22, 1.40]",NA,"1.428017","0.153287"
"Film","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2547","30","35","73","0.30"," [0.16, 0.44]",NA,"4.179223","0.000029"
"Picture","All","Intrusion frequency","Lab-based intrusion monitoring task","no","110","1","1","2","-0.12"," [-0.91, 0.67]",NA,"-0.296061","0.767183"
"Picture + audio","All","Intrusion frequency","Lab-based intrusion monitoring task","no","116","2","2","2","0.39"," [-0.25, 1.02]",NA,"1.201479","0.229565"
"Moderation Analysis: TraumaStimuliType","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.525",NA,"0.913"
"Audio","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","86","1","1","2","0.59"," [-0.13, 1.31]",NA,"1.610598","0.107267"
"Film","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2493","29","34","71","0.33"," [0.20, 0.46]",NA,"5.072142","0.000000"
"Picture","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","110","1","1","1","0.31"," [-0.46, 1.08]",NA,"0.786067","0.431829"
"Picture + audio","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","116","2","2","2","0.39"," [-0.19, 0.96]",NA,"1.316238","0.188094"
"Moderation Analysis: ComparisonType","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.348",NA,"0.555"
"Experimental task","All","Intrusion frequency","Lab-based intrusion monitoring task","no","1897","23","27","48","0.33"," [0.17, 0.49]",NA,"3.986624","0.000067"
"No-task","All","Intrusion frequency","Lab-based intrusion monitoring task","no","962","11","12","31","0.24"," [0.01, 0.48]",NA,"2.024443","0.042925"
"Moderation Analysis: ComparisonType","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.162",NA,"0.688"
"Experimental task","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","1843","22","26","47","0.35"," [0.21, 0.50]",NA,"4.815244","0.000001"
"No-task","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","962","11","12","29","0.30"," [0.09, 0.51]",NA,"2.836745","0.004558"
"Moderation Analysis: StudyDesign","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.933",NA,"0.334"
"Between-subject","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2753","32","37","77","0.28"," [0.15, 0.42]",NA,"4.141116","0.000035"
"Within-subject","All","Intrusion frequency","Lab-based intrusion monitoring task","no","106","2","2","2","0.57"," [0.00, 1.14]",NA,"1.973041","0.048491"
