"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: StudyDesign","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.921",NA,"0.337"
"Between-subject","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2699","31","36","74","0.32"," [0.20, 0.44]",NA,"5.287159","0.000000"
"Within-subject","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","106","2","2","2","0.57"," [0.08, 1.07]",NA,"2.263885","0.023581"
"Moderation Analysis: TimeOfManipulation","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.431",NA,"0.698"
"Delayed post","All","Intrusion frequency","Lab-based intrusion monitoring task","no","519","4","5","9","0.22"," [-0.14, 0.59]",NA,"1.209593","0.226435"
"Immediate post","All","Intrusion frequency","Lab-based intrusion monitoring task","no","1550","20","23","50","0.36"," [0.19, 0.53]",NA,"4.237100","0.000023"
"Peri","All","Intrusion frequency","Lab-based intrusion monitoring task","no","432","5","5","9","0.18"," [-0.18, 0.54]",NA,"0.980497","0.326841"
"Pre","All","Intrusion frequency","Lab-based intrusion monitoring task","no","439","7","7","11","0.23"," [-0.05, 0.52]",NA,"1.588607","0.112149"
"Moderation Analysis: TimeOfManipulation","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.747",NA,"0.862"
"Delayed post","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","519","4","5","9","0.22"," [-0.11, 0.54]",NA,"1.310048","0.190180"
"Immediate post","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","1550","20","23","50","0.37"," [0.22, 0.52]",NA,"4.807395","0.000002"
"Peri","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","432","5","5","7","0.34"," [0.00, 0.68]",NA,"1.980743","0.047620"
"Pre","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","385","6","6","10","0.32"," [0.04, 0.60]",NA,"2.245264","0.024751"
"Moderation Analysis: Physio_binary","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.019",NA,"0.889"
"No","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2209","27","31","68","0.30"," [0.15, 0.44]",NA,"3.887681","0.000101"
"Yes","All","Intrusion frequency","Lab-based intrusion monitoring task","no","650","8","8","11","0.32"," [0.02, 0.61]",NA,"2.108410","0.034996"
"Moderation Analysis: Physio_binary","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.044",NA,"0.834"
"No","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2155","26","30","65","0.34"," [0.21, 0.48]",NA,"5.068062","0.000000"
"Yes","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","650","8","8","11","0.31"," [0.05, 0.57]",NA,"2.352444","0.018650"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"43.772",NA,"0.000"
"Australia","All","Intrusion frequency","Lab-based intrusion monitoring task","no","827","9","10","33","-0.00"," [-0.16, 0.15]",NA,"-0.031026","0.975249"
"Belgium, Netherlands","All","Intrusion frequency","Lab-based intrusion monitoring task","no","61","1","1","1","0.76"," [0.22, 1.29]",NA,"2.768483","0.005632"
"Belgium/Australia","All","Intrusion frequency","Lab-based intrusion monitoring task","no","74","1","1","2","-0.10"," [-0.64, 0.45]",NA,"-0.342402","0.732048"
"England","All","Intrusion frequency","Lab-based intrusion monitoring task","no","666","9","12","21","0.62"," [0.45, 0.80]",NA,"7.140163","0.000000"
"Germany","All","Intrusion frequency","Lab-based intrusion monitoring task","no","505","6","6","8","0.13"," [-0.10, 0.36]",NA,"1.125165","0.260519"
"Hong Kong SAR","All","Intrusion frequency","Lab-based intrusion monitoring task","no","150","2","2","2","0.36"," [-0.07, 0.79]",NA,"1.655944","0.097733"
"Israel","All","Intrusion frequency","Lab-based intrusion monitoring task","no","60","1","1","1","0.87"," [0.21, 1.52]",NA,"2.598244","0.009370"
"Netherlands","All","Intrusion frequency","Lab-based intrusion monitoring task","no","280","3","3","6","0.54"," [0.22, 0.86]",NA,"3.298919","0.000971"
"Norway","All","Intrusion frequency","Lab-based intrusion monitoring task","no","149","1","1","3","0.04"," [-0.41, 0.49]",NA,"0.186608","0.851968"
"USA","All","Intrusion frequency","Lab-based intrusion monitoring task","no","87","2","2","2","-0.09"," [-0.61, 0.43]",NA,"-0.343591","0.731154"
"Moderation Analysis: Country_RegionofOrigin","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"69.831",NA,"0.000"
"Australia","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","827","9","10","31","0.06"," [-0.04, 0.16]",NA,"1.251227","0.210852"
"Belgium, Netherlands","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","61","1","1","1","0.76"," [0.38, 1.14]",NA,"3.907516","0.000093"
"Belgium/Australia","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","74","1","1","2","-0.10"," [-0.50, 0.31]",NA,"-0.459891","0.645595"
"England","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","666","9","12","21","0.61"," [0.48, 0.75]",NA,"9.075150","0.000000"
"Germany","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","505","6","6","8","0.12"," [-0.04, 0.28]",NA,"1.430020","0.152711"
"Hong Kong SAR","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","150","2","2","2","0.38"," [0.04, 0.71]",NA,"2.188163","0.028658"
"Israel","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","60","1","1","1","0.87"," [0.33, 1.40]",NA,"3.184098","0.001452"
"Netherlands","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","280","3","3","6","0.51"," [0.28, 0.74]",NA,"4.375050","0.000012"
"Norway","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","149","1","1","3","0.04"," [-0.23, 0.31]",NA,"0.308108","0.758000"
"USA","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","33","1","1","1","0.90"," [0.18, 1.62]",NA,"2.458272","0.013961"
"Moderation Analysis: Continent","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"17.665",NA,"0.001"
"Asia","All","Intrusion frequency","Lab-based intrusion monitoring task","no","210","3","3","3","0.52"," [0.09, 0.94]",NA,"2.391509","0.016779"
"Australia","All","Intrusion frequency","Lab-based intrusion monitoring task","no","827","9","10","33","-0.01"," [-0.21, 0.19]",NA,"-0.089090","0.929011"
"Australia/europe","All","Intrusion frequency","Lab-based intrusion monitoring task","no","74","1","1","2","-0.10"," [-0.77, 0.58]",NA,"-0.277889","0.781098"
"Europe","All","Intrusion frequency","Lab-based intrusion monitoring task","no","1661","20","23","39","0.46"," [0.32, 0.61]",NA,"6.221010","0.000000"
"North america","All","Intrusion frequency","Lab-based intrusion monitoring task","no","87","2","2","2","-0.06"," [-0.65, 0.53]",NA,"-0.193188","0.846812"
"Moderation Analysis: Continent","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"17.480",NA,"0.002"
"Asia","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","210","3","3","3","0.52"," [0.13, 0.90]",NA,"2.649073","0.008071"
"Australia","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","827","9","10","31","0.05"," [-0.12, 0.23]",NA,"0.595478","0.551524"
"Australia/europe","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","74","1","1","2","-0.10"," [-0.69, 0.50]",NA,"-0.313528","0.753880"
"Europe","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","1661","20","23","39","0.45"," [0.32, 0.58]",NA,"6.894053","0.000000"
"North america","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","33","1","1","1","0.90"," [0.06, 1.75]",NA,"2.099614","0.035763"
"Moderation Analysis: MeanAge","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"5.460",NA,"0.019"
"MeanAge","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2859","34","39","79","0.05"," [0.01, 0.09]",NA,"2.336644","0.019458"
"Moderation Analysis: MeanAge","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"4.193",NA,"0.041"
"MeanAge","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2805","33","38","76","0.04"," [0.00, 0.08]",NA,"2.047684","0.040591"
"Moderation Analysis: FemaleRatio","All","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.397",NA,"0.237"
"FemaleRatio","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2859","34","39","79","-0.50"," [-1.34, 0.33]",NA,"-1.181918","0.237238"
"Moderation Analysis: FemaleRatio","All","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"3.846",NA,"0.050"
"FemaleRatio","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2805","33","38","76","-0.73"," [-1.46, -0.00]",NA,"-1.961179","0.049858"
