"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: TraumaStimuliType","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.324",NA,"0.127"
"Film","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","1247","12","15","31","0.09"," [-0.11, 0.30]",NA,"0.876349","0.380840"
"Picture","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","110","1","1","1","-0.55"," [-1.35, 0.25]",NA,"-1.350193","0.176954"
"Moderation Analysis: TraumaStimuliType","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"6.285",NA,"0.012"
"Film","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","1104","10","13","28","0.11"," [0.00, 0.22]",NA,"2.021987","0.043178"
"Picture","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","110","1","1","1","-0.55"," [-1.06, -0.04]",NA,"-2.128871","0.033265"
"Moderation Analysis: ComparisonType","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.015",NA,"0.902"
"Experimental task","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","722","6","9","16","0.07"," [-0.23, 0.36]",NA,"0.437792","0.661537"
"No-task","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","635","7","7","16","0.04"," [-0.29, 0.36]",NA,"0.228977","0.818887"
"Moderation Analysis: ComparisonType","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.662",NA,"0.416"
"Experimental task","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","668","5","8","15","0.13"," [-0.03, 0.30]",NA,"1.562925","0.118070"
"No-task","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","546","6","6","14","0.03"," [-0.14, 0.21]",NA,"0.356421","0.721525"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.145",NA,"0.930"
"Immediate post","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","844","8","10","23","0.08"," [-0.18, 0.34]",NA,"0.588670","0.556083"
"Peri","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","346","4","4","5","-0.02"," [-0.46, 0.42]",NA,"-0.090766","0.927678"
"Pre","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","248","3","3","4","0.06"," [-0.36, 0.49]",NA,"0.300446","0.763837"
"Moderation Analysis: TimeOfManipulation","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.598",NA,"0.273"
"Immediate post","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","844","8","10","23","0.11"," [-0.03, 0.25]",NA,"1.579526","0.114215"
"Peri","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","257","3","3","3","-0.18"," [-0.53, 0.17]",NA,"-1.004025","0.315367"
"Pre","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","194","2","2","3","0.18"," [-0.17, 0.53]",NA,"1.000276","0.317177"
"Moderation Analysis: Physio_binary","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.175",NA,"0.140"
"No","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","1129","11","13","27","-0.02"," [-0.25, 0.20]",NA,"-0.195565","0.844951"
"Yes","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","228","3","3","5","0.36"," [-0.10, 0.83]",NA,"1.546633","0.121952"
"Moderation Analysis: Physio_binary","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.002",NA,"0.962"
"No","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","1075","10","12","25","0.08"," [-0.05, 0.22]",NA,"1.238400","0.215568"
"Yes","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","139","2","2","4","0.09"," [-0.22, 0.40]",NA,"0.583614","0.559480"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"14.708",NA,"0.012"
"Australia","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","767","8","9","25","-0.02"," [-0.21, 0.18]",NA,"-0.159396","0.873357"
"Belgium/Australia","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","74","1","1","1","0.02"," [-0.72, 0.77]",NA,"0.064245","0.948775"
"England","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","224","2","3","3","0.71"," [0.28, 1.14]",NA,"3.256844","0.001127"
"Germany","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","89","1","1","1","0.05"," [-0.62, 0.73]",NA,"0.156149","0.875915"
"Netherlands","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","149","1","1","1","-0.10"," [-0.87, 0.67]",NA,"-0.264337","0.791521"
"USA","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","54","1","1","1","-0.77"," [-1.50, -0.05]",NA,"-2.088605","0.036743"
"Moderation Analysis: Country_RegionofOrigin","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"5.757",NA,"0.218"
"Australia","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","767","8","9","24","0.05"," [-0.07, 0.18]",NA,"0.849462","0.395624"
"Belgium/Australia","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","74","1","1","1","0.02"," [-0.63, 0.68]",NA,"0.072777","0.941983"
"England","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","135","1","2","2","0.64"," [0.16, 1.11]",NA,"2.633078","0.008461"
"Germany","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","89","1","1","1","0.05"," [-0.52, 0.63]",NA,"0.182546","0.855155"
"Netherlands","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","149","1","1","1","-0.10"," [-0.79, 0.58]",NA,"-0.296674","0.766716"
"Moderation Analysis: Continent","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"8.694",NA,"0.034"
"Australia","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","767","8","9","25","-0.02"," [-0.24, 0.20]",NA,"-0.182985","0.854810"
"Australia/europe","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","74","1","1","1","0.02"," [-0.77, 0.82]",NA,"0.059932","0.952210"
"Europe","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","462","4","5","5","0.41"," [0.06, 0.76]",NA,"2.283019","0.022429"
"North america","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","54","1","1","1","-0.77"," [-1.55, 0.01]",NA,"-1.941445","0.052204"
"Moderation Analysis: Continent","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"1.700",NA,"0.427"
"Australia","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","767","8","9","24","0.05"," [-0.08, 0.19]",NA,"0.823747","0.410083"
"Australia/europe","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","74","1","1","1","0.02"," [-0.65, 0.70]",NA,"0.070768","0.943582"
"Europe","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","373","3","4","4","0.29"," [-0.04, 0.62]",NA,"1.711655","0.086960"
"Moderation Analysis: MeanAge","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"7.353",NA,"0.007"
"MeanAge","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","1357","13","16","32","0.07"," [0.02, 0.13]",NA,"2.711635","0.006695"
"Moderation Analysis: MeanAge","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.646",NA,"0.422"
"MeanAge","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","1214","11","14","29","0.03"," [-0.05, 0.12]",NA,"0.803780","0.421524"
"Moderation Analysis: FemaleRatio","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.294",NA,"0.588"
"FemaleRatio","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","1357","13","16","32","-0.34"," [-1.58, 0.90]",NA,"-0.542416","0.587532"
"Moderation Analysis: FemaleRatio","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.518",NA,"0.472"
"FemaleRatio","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","1214","11","14","29","-0.22"," [-0.83, 0.39]",NA,"-0.719438","0.471871"
