"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"11.753",NA,"0.019"
"Emotion","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","252","3","3","6","0.42"," [0.08, 0.76]",NA,"2.409372","0.015980"
"Imagery","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","269","2","2","5","0.05"," [-0.35, 0.44]",NA,"0.232916","0.815827"
"Imagery + verbal","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","135","1","2","2","0.64"," [0.12, 1.15]",NA,"2.400132","0.016389"
"Verbal","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","380","4","5","9","-0.17"," [-0.44, 0.10]",NA,"-1.218241","0.223132"
"Verbal + imagery","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","200","2","2","4","0.23"," [-0.18, 0.64]",NA,"1.079383","0.280417"
"Moderation Analysis: Step4_Hypothesized_mechanism","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"9.545",NA,"0.049"
"Emotion","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","163","2","2","5","0.26"," [-0.01, 0.53]",NA,"1.879077","0.060234"
"Imagery","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","269","2","2","5","0.08"," [-0.22, 0.38]",NA,"0.540849","0.588612"
"Imagery + verbal","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","135","1","2","2","0.64"," [0.20, 1.08]",NA,"2.833778","0.004600"
"Verbal","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","315","3","4","8","-0.05"," [-0.26, 0.16]",NA,"-0.479940","0.631270"
"Verbal + imagery","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","200","2","2","4","0.25"," [-0.08, 0.57]",NA,"1.479376","0.139040"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"5.304",NA,"0.151"
"Direct","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","755","7","8","13","0.13"," [-0.11, 0.38]",NA,"1.055037","0.291409"
"Direct + indirect","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","135","1","2","2","0.63"," [0.06, 1.21]",NA,"2.162615","0.030571"
"Indirect","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","333","3","4","8","-0.13"," [-0.48, 0.22]",NA,"-0.724009","0.469060"
"Indirect + direct","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","200","2","2","8","0.02"," [-0.35, 0.39]",NA,"0.120106","0.904399"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"5.814",NA,"0.121"
"Direct","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","666","6","7","12","0.05"," [-0.13, 0.23]",NA,"0.557945","0.576882"
"Direct + indirect","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","135","1","2","2","0.64"," [0.17, 1.11]",NA,"2.658141","0.007857"
"Indirect","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","333","3","4","7","0.01"," [-0.22, 0.25]",NA,"0.121041","0.903659"
"Indirect + direct","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","200","2","2","8","0.07"," [-0.18, 0.31]",NA,"0.542634","0.587382"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.254",NA,"0.324"
"Instruction","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","529","5","5","6","0.30"," [-0.04, 0.65]",NA,"1.711254","0.087034"
"Task","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","774","7","10","19","0.02"," [-0.21, 0.25]",NA,"0.168463","0.866219"
"Task+instruction","Increase","Intrusion frequency","Lab-based intrusion monitoring task","no","120","1","1","6","0.09"," [-0.38, 0.56]",NA,"0.365242","0.714931"
"Moderation Analysis: Step4b_Task_Instruction","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.677",NA,"0.713"
"Instruction","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","440","4","4","5","0.19"," [-0.09, 0.48]",NA,"1.317154","0.187787"
"Task","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","774","7","10","18","0.07"," [-0.09, 0.22]",NA,"0.840156","0.400821"
"Task+instruction","Increase","Intrusion frequency","Lab-based intrusion monitoring task","yes","120","1","1","6","0.05"," [-0.23, 0.32]",NA,"0.335508","0.737242"
