"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.036",NA,"0.850"
"Imagery","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","301","3","3","5","0.15"," [-0.18, 0.48]",NA,"0.891194","0.372825"
"Verbal","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","276","3","3","4","0.19"," [-0.13, 0.52]",NA,"1.150417","0.249972"
"Moderation Analysis: Step4_Hypothesized_mechanism","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.036",NA,"0.850"
"Imagery","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","301","3","3","5","0.15"," [-0.18, 0.48]",NA,"0.891194","0.372825"
"Verbal","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","276","3","3","4","0.19"," [-0.13, 0.52]",NA,"1.150417","0.249972"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.001",NA,"0.982"
"Direct","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","411","4","4","5","0.18"," [-0.10, 0.46]",NA,"1.225969","0.220210"
"Indirect","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","337","5","5","7","0.17"," [-0.06, 0.40]",NA,"1.454629","0.145772"
"Moderation Analysis: Step4a_Direct_Indirect_involvement","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.001",NA,"0.982"
"Direct","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","411","4","4","5","0.18"," [-0.10, 0.46]",NA,"1.225969","0.220210"
"Indirect","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","337","5","5","7","0.17"," [-0.06, 0.40]",NA,"1.454629","0.145772"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.160",NA,"0.689"
"Instruction","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","80","1","1","2","0.08"," [-0.39, 0.54]",NA,"0.328847","0.742271"
"Task","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","596","7","7","10","0.18"," [-0.00, 0.36]",NA,"1.919357","0.054939"
"Moderation Analysis: Step4b_Task_Instruction","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.160",NA,"0.689"
"Instruction","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","80","1","1","2","0.08"," [-0.39, 0.54]",NA,"0.328847","0.742271"
"Task","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","596","7","7","10","0.18"," [-0.00, 0.36]",NA,"1.919357","0.054939"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.752",NA,"0.416"
"Audio","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","86","1","1","1","0.45"," [-0.09, 0.99]",NA,"1.637713","0.101482"
"Film","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","400","5","5","10","0.11"," [-0.09, 0.30]",NA,"1.073502","0.283046"
"Picture","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","110","1","1","1","0.31"," [-0.18, 0.80]",NA,"1.228522","0.219251"
"Moderation Analysis: TraumaStimuliType","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"1.752",NA,"0.416"
"Audio","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","86","1","1","1","0.45"," [-0.09, 0.99]",NA,"1.637713","0.101482"
"Film","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","400","5","5","10","0.11"," [-0.09, 0.30]",NA,"1.073502","0.283046"
"Picture","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","110","1","1","1","0.31"," [-0.18, 0.80]",NA,"1.228522","0.219251"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.651",NA,"0.420"
"Experimental task","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","248","3","3","4","0.26"," [-0.02, 0.54]",NA,"1.815447","0.069455"
"No-task","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","348","4","4","8","0.11"," [-0.13, 0.34]",NA,"0.901279","0.367440"
"Moderation Analysis: ComparisonType","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.651",NA,"0.420"
"Experimental task","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","248","3","3","4","0.26"," [-0.02, 0.54]",NA,"1.815447","0.069455"
"No-task","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","348","4","4","8","0.11"," [-0.13, 0.34]",NA,"0.901279","0.367440"
