"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: StudyDesign","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.039",NA,"0.308"
"Between-subject","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","551","6","6","11","0.13"," [-0.06, 0.31]",NA,"1.370458","0.170544"
"Within-subject","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","45","1","1","1","0.38"," [-0.06, 0.82]",NA,"1.674554","0.094022"
"Moderation Analysis: StudyDesign","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"1.039",NA,"0.308"
"Between-subject","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","551","6","6","11","0.13"," [-0.06, 0.31]",NA,"1.370458","0.170544"
"Within-subject","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","45","1","1","1","0.38"," [-0.06, 0.82]",NA,"1.674554","0.094022"
"Moderation Analysis: TimeOfManipulation","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.181",NA,"0.536"
"Delayed post","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","72","1","1","2","-0.10"," [-0.65, 0.45]",NA,"-0.347934","0.727890"
"Immediate post","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","274","3","3","6","0.20"," [-0.09, 0.49]",NA,"1.359176","0.174091"
"Peri","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","196","2","2","2","0.38"," [-0.03, 0.78]",NA,"1.814605","0.069585"
"Pre","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","54","1","1","2","0.05"," [-0.43, 0.53]",NA,"0.194624","0.845687"
"Moderation Analysis: TimeOfManipulation","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.181",NA,"0.536"
"Delayed post","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","72","1","1","2","-0.10"," [-0.65, 0.45]",NA,"-0.347934","0.727890"
"Immediate post","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","274","3","3","6","0.20"," [-0.09, 0.49]",NA,"1.359176","0.174091"
"Peri","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","196","2","2","2","0.38"," [-0.03, 0.78]",NA,"1.814605","0.069585"
"Pre","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","54","1","1","2","0.05"," [-0.43, 0.53]",NA,"0.194624","0.845687"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.362",NA,"0.501"
"Australia","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","190","2","2","5","0.09"," [-0.24, 0.41]",NA,"0.520054","0.603026"
"England","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","117","2","2","3","0.16"," [-0.20, 0.52]",NA,"0.859919","0.389834"
"Germany","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","54","1","1","2","0.05"," [-0.41, 0.50]",NA,"0.204951","0.837610"
"Netherlands","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","235","2","2","2","0.46"," [0.04, 0.88]",NA,"2.143170","0.032099"
"Moderation Analysis: Country_RegionofOrigin","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.362",NA,"0.501"
"Australia","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","190","2","2","5","0.09"," [-0.24, 0.41]",NA,"0.520054","0.603026"
"England","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","117","2","2","3","0.16"," [-0.20, 0.52]",NA,"0.859919","0.389834"
"Germany","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","54","1","1","2","0.05"," [-0.41, 0.50]",NA,"0.204951","0.837610"
"Netherlands","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","235","2","2","2","0.46"," [0.04, 0.88]",NA,"2.143170","0.032099"
"Moderation Analysis: Continent","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.524",NA,"0.469"
"Australia","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","190","2","2","5","0.08"," [-0.22, 0.39]",NA,"0.519548","0.603379"
"Europe","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","406","5","5","7","0.22"," [-0.00, 0.45]",NA,"1.918233","0.055081"
"Moderation Analysis: Continent","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.524",NA,"0.469"
"Australia","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","190","2","2","5","0.08"," [-0.22, 0.39]",NA,"0.519548","0.603379"
"Europe","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","406","5","5","7","0.22"," [-0.00, 0.45]",NA,"1.918233","0.055081"
"Moderation Analysis: MeanAge","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.226",NA,"0.136"
"MeanAge","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","596","7","7","12","-0.07"," [-0.17, 0.02]",NA,"-1.492137","0.135663"
"Moderation Analysis: MeanAge","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.226",NA,"0.136"
"MeanAge","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","596","7","7","12","-0.07"," [-0.17, 0.02]",NA,"-1.492137","0.135663"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.196",NA,"0.274"
"FemaleRatio","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","no","596","7","7","12","0.76"," [-0.61, 2.14]",NA,"1.093425","0.274207"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"1.196",NA,"0.274"
"FemaleRatio","Unspecified","Intrusion frequency","Lab-based intrusion monitoring task","yes","596","7","7","12","0.76"," [-0.61, 2.14]",NA,"1.093425","0.274207"
