"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: Continent","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.566",NA,"0.754"
"Australia","Unspecified","Intrusion frequency","Intrusion diary","no","230","3","3","4","-0.04"," [-0.41, 0.32]",NA,"-0.233288","0.815538"
"Europe","Unspecified","Intrusion frequency","Intrusion diary","no","1843","22","23","43","0.10"," [-0.02, 0.22]",NA,"1.713641","0.086595"
"North america","Unspecified","Intrusion frequency","Intrusion diary","no","283","2","2","2","0.09"," [-0.35, 0.53]",NA,"0.395485","0.692485"
"Moderation Analysis: Continent","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.975",NA,"0.614"
"Australia","Unspecified","Intrusion frequency","Intrusion diary","yes","230","3","3","4","-0.05"," [-0.40, 0.30]",NA,"-0.269011","0.787921"
"Europe","Unspecified","Intrusion frequency","Intrusion diary","yes","1843","22","23","41","0.14"," [0.02, 0.25]",NA,"2.340754","0.019245"
"North america","Unspecified","Intrusion frequency","Intrusion diary","yes","283","2","2","2","0.09"," [-0.33, 0.51]",NA,"0.412613","0.679890"
"Moderation Analysis: MeanAge","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.221",NA,"0.638"
"MeanAge","Unspecified","Intrusion frequency","Intrusion diary","no","2073","25","26","47","-0.02"," [-0.09, 0.06]",NA,"-0.469935","0.638401"
"Moderation Analysis: MeanAge","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.006",NA,"0.938"
"MeanAge","Unspecified","Intrusion frequency","Intrusion diary","yes","2073","25","26","45","-0.00"," [-0.07, 0.07]",NA,"-0.078296","0.937593"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion frequency","Intrusion diary","no",NA,NA,NA,NA,NA,NA,"0.086",NA,"0.769"
"FemaleRatio","Unspecified","Intrusion frequency","Intrusion diary","no","2356","27","28","49","0.13"," [-0.72, 0.97]",NA,"0.293565","0.769090"
"Moderation Analysis: FemaleRatio","Unspecified","Intrusion frequency","Intrusion diary","yes",NA,NA,NA,NA,NA,NA,"0.258",NA,"0.612"
"FemaleRatio","Unspecified","Intrusion frequency","Intrusion diary","yes","2356","27","28","47","-0.21"," [-1.04, 0.61]",NA,"-0.507570","0.611755"
