"Analysis","Prediction","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","z","p","Q","tau2.studylevel","tau2.outcomelevel","I2","Q.pval"
"Main Analysis","All","Intrusion frequency","Intrusion diary","no","8985","104","121","248","0.14089545398486"," [0.07, 0.21]","3.76727407867841","0.000165039779668906","630.243418438888","0.114340343666107","0.0109834738458758","63.1366121612307","0.0000000000000000000000000000000000240596908473333"
"Main Analysis","All","Intrusion frequency","Intrusion diary","yes","8790","102","116","236","0.144089060409637"," [0.08, 0.21]","4.40188613076068","0.0000107313876916758","502.908065127609","0.0761584068352036","0.00408543343889157","52.8857987168073","0.00000000000000000000141800541839315"
"Main Analysis","Decrease","Intrusion frequency","Intrusion diary","no","6619","76","89","134","0.29015940413029"," [0.21, 0.37]","6.71363170246723","0.0000000000189839111261803","308.422784535794","0.106095213872665","0.0000000000608948666704824","60.08156870463","0.000000000000000575254340579831"
"Main Analysis","Decrease","Intrusion frequency","Intrusion diary","yes","6260","72","83","127","0.293618721656987"," [0.22, 0.37]","7.50286290829333","0.0000000000000624388457264823","246.833348718528","0.0700189614560092","0.0000000000439671660726364","50.0951808444114","0.000000000732010083966277"
"Main Analysis","Increase","Intrusion frequency","Intrusion diary","no","3611","41","47","63","-0.167202552951006"," [-0.30, -0.03]","-2.42305950607967","0.0153904054414819","166.746327918034","0.153365559245696","0.000000000105179975034529","66.6160750699841","0.0000000000154176065090166"
"Main Analysis","Increase","Intrusion frequency","Intrusion diary","yes","3352","38","44","59","-0.171256230686081"," [-0.28, -0.06]","-2.97199914594675","0.00295867507083458","111.619018745742","0.078221310997766","0.0000000000783173129537204","50.5617088278277","0.0000298355903167984"
"Main Analysis","Unspecified","Intrusion frequency","Intrusion diary","no","2356","27","28","49","0.0900088631039529"," [-0.02, 0.20]","1.63250407122437","0.102573341528981","72.5097997621119","0.030001870540167","0.000000000350507722309824","27.756860478908","0.0126897512151585"
"Main Analysis","Unspecified","Intrusion frequency","Intrusion diary","yes","2356","27","28","47","0.115723963080167"," [0.01, 0.22]","2.19995581033238","0.0278100304003334","58.7801855645117","0.021903473369177","0.0000000000506661395426387","22.2170155054454","0.0978446704362485"
"Main Analysis","All","Intrusion frequency","Lab-based intrusion monitoring task","no","2859","34","39","79","0.299106902364128"," [0.17, 0.43]","4.47730556733729","0.00000755910182125812","178.377163587586","0.12745940035645","0.000000000529296230303787","62.9765076290991","0.0000000007841181189603"
"Main Analysis","All","Intrusion frequency","Lab-based intrusion monitoring task","yes","2805","33","38","76","0.336740472274936"," [0.22, 0.45]","5.65597932291165","0.0000000154960123467651","142.643814284878","0.0881131348624194","0.0000000000468895370135966","54.041004244645","0.00000411600767532291"
